handle,item_code,name,dimension,product_group,unit,list_eur,eur_fob,cbm,cbm_method,landed_thb,landed_thb_raw,logistics_pct,logistics_clamp,retail_thb,retail_usd,retail_eur,retail_sgd,freight_thb,duty_thb,vat_thb
4soft-l2-01a-03,L2-01A-03,3D Sun (set of 13 pcs),3D,L-3D nature,set,1194.0,1014.9,0.2541,dims_scaled,73993.43,73993.43,0.8835,,131954.95,3708.62,3185.95,4735.21,5728.68,4540.65,3496.3
4soft-l2-02a-57uv,L2-02A-57UV,3D Cloud - UV rainbow blue,3D,L-3D nature,each,1352.0,1149.2,0.0526,dims_scaled,74826.38,74826.38,0.6821,,133440.38,3750.37,3221.81,4788.51,1185.87,4611.42,3550.79
4soft-l3-01a-04,L3-01A-04,3D Ant hill - small - signal green,3D,L-3D nature,each,1614.0,1371.9,0.0,flat_uplift,84966.05,84379.25,0.6,floored,151522.79,4258.58,3658.4,5437.4,18586.322853000005,7169.01,5520.14
4soft-l3-01a-20,L3-01A-20,"3D Ant hill - small - beige, brown",3D,L-3D nature,each,1614.0,1371.9,0.0,flat_uplift,84966.05,84379.25,0.6,floored,151522.79,4258.58,3658.4,5437.4,18586.322853000005,7169.01,5520.14
4soft-l3-02a-20,L3-02A-20,3D Mushroom-boletus L - without anchor,3D,L-3D nature,each,650.0,552.5,0.0,flat_uplift,34218.05,33981.73,0.6,floored,61022.19,1715.04,1473.33,2189.78,7485.198175000001,2887.15,2223.1
4soft-l3-02b-20,L3-02B-20,3D Mushroom-toadstool L - without anchor,3D,L-3D nature,each,861.0,731.85,0.0,flat_uplift,45325.75,45012.72,0.6,floored,80830.92,2271.77,1951.6,2900.62,9915.0086595,3824.36,2944.76
4soft-l3-02c-20,L3-02C-20,3D Mushroom MINI-boletus - without anchor,3D,L-3D nature,each,388.0,329.8,0.0,flat_uplift,22978.74,20284.48,0.8,floored,40978.75,1151.72,989.4,1470.52,4468.087526000001,1723.41,1327.02
4soft-l3-02d-55uv,L3-02D-55UV,3D Mushroom MINI-toadstool - without anchor,3D,L-3D nature,each,460.0,391.0,0.0,flat_uplift,27242.83,24048.6,0.8,floored,48583.05,1365.44,1173.0,1743.4,5297.217170000002,2043.21,1573.27
4soft-l3-02e-20,L3-02E-20,3D Mushroom-boletus M - without anchor,3D,L-3D nature,each,615.0,522.75,0.0,flat_uplift,32375.54,32151.95,0.6,floored,57736.38,1622.69,1394.0,2071.87,7082.149042500001,2731.69,2103.4
4soft-l3-02f-55uv,L3-02F-55UV,3D Mushroom-toadstool M - without anchor,3D,L-3D nature,each,811.0,689.35,0.0,flat_uplift,42693.6,42398.74,0.6,floored,76136.92,2139.84,1838.27,2732.18,9339.224184500006,3602.27,2773.75
